Grade in school this year,AM Course - 1st Choice. (Drop down option),AM Course - 2nd Choice. (Drop down option),AM Course - 3rd Choice. (Drop down option),AM Course - 4th Choice. (Drop down option),AM Course - 5th Choice. (Drop down option),PM Course - 1st Choice. (Drop down option),PM Course - 2nd Choice. (Drop down option),PM Course - 3rd Choice. (Drop down option),PM Course - 4th Choice. (Drop down option),PM Course - 5th Choice. (Drop down option)
Freshman,Knitting and Crochet: The Basics,Wilderness Survival,Beautiful Morning Hikes,Introduction to Podcasting,Farming to Benefit the Community,Floral Design with Foraging,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,Songwriters' Seminar,Introduction to Dog Training
Freshman,Wilderness Survival,Fishing at the pond,Amazing Race - Full Day Course,Farming to Benefit the Community,Play Like a Kid,Teamwork and Collaboration in Video Games,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Floral Design with Foraging
Sophomore,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Wilderness Survival,Fishing at the pond,"Grilling, Games, & Grins",Doughnuts around the world,Teamwork and Collaboration in Video Games,"Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank
Sophomore,Beautiful Morning Hikes,Harry Potter: The Wizarding World of June Academy,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Disc Golf,"Grilling, Games, & Grins",Shark Tank,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,Introduction to Dog Training
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Ultimate Frisbee,Fishing at the pond,"Grilling, Games, & Grins",Doughnuts around the world,NASA in the Movies,Running Club,Shark Tank
Freshman,Lifeguarding - Full Day Course,Knitting and Crochet: The Basics,Myths and Mirth,Fishing at the pond,Disc Golf,Doughnuts around the world,Board Games,Teamwork and Collaboration in Video Games,Creating Outside the Box,Introduction to Dog Training
Junior,Amazing Race - Full Day Course,Introduction to Podcasting,Music Camp,Ultimate Frisbee,Fishing at the pond,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Intro to Italian,Introduction to Dog Training,Running Club
Junior,Amazing Race - Full Day Course,Wilderness Survival,Ultimate Frisbee,Fishing at the pond,Beautiful Morning Hikes,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Mending and Hiking,Doughnuts around the world,Board Games
Sophomore,Fishing at the pond,Ultimate Frisbee,Disc Golf,Beautiful Morning Hikes,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Teamwork and Collaboration in Video Games,"Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank
Sophomore,Ultimate Frisbee,Wilderness Survival,Fishing at the pond,Beautiful Morning Hikes,Introduction to Podcasting,"Grilling, Games, & Grins",Doughnuts around the world,Teamwork and Collaboration in Video Games,Globalization of East Asian Foodways,"Words, words, words... Word Puzzles and Games"
Sophomore,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Wilderness Survival,Fishing at the pond,"Grilling, Games, & Grins",Doughnuts around the world,Teamwork and Collaboration in Video Games,"Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank
Sophomore,Beautiful Morning Hikes,Music Camp,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Web Design and Development,Beautiful Storage,Doughnuts around the world,Globalization of East Asian Foodways,Board Games,The Joy of Learning and Knowing Trivial Things,"Grilling, Games, & Grins"
Sophomore,College Tours - Full Day Course,Disc Golf,Amazing Race - Full Day Course,Beautiful Morning Hikes,History of American Professional Football,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Shark Tank,Doughnuts around the world,"Words, words, words... Word Puzzles and Games"
Freshman,Amazing Race - Full Day Course,Backyard Birdles,Play Like a Kid,Ultimate Frisbee,Beautiful Morning Hikes,"Grilling, Games, & Grins",Doughnuts around the world,Introduction to Dog Training,Latin American Music and Zumba,Shark Tank
Freshman,Amazing Race - Full Day Course,Backyard Birdles,Lifeguarding - Full Day Course,Ultimate Frisbee,Beautiful Morning Hikes,"Grilling, Games, & Grins",Doughnuts around the world,Introduction to Dog Training,Latin American Music and Zumba,Shark Tank
Freshman,Amazing Race - Full Day Course,Backyard Birdles,Play Like a Kid,Ultimate Frisbee,Beautiful Morning Hikes,"Grilling, Games, & Grins",Running Club,Doughnuts around the world,Latin American Music and Zumba,Shark Tank
Freshman,Amazing Race - Full Day Course,Beautiful Morning Hikes,College Tours - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Wilderness Survival,Shark Tank,Globalization of East Asian Foodways,Doughnuts around the world,NASA in the Movies,Board Games
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Harry Potter: The Wizarding World of June Academy,Play Like a Kid,Beautiful Morning Hikes,Doughnuts around the world,Board Games,Beads and Baubles: The Art of Jewelry Making,Introduction to Dog Training,NASA in the Movies
Junior,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Backyard Birdles,Farming to Benefit the Community,Doughnuts around the world,"Grilling, Games, & Grins",Shark Tank,The Joy of Learning and Knowing Trivial Things,Board Games
Sophomore,Ultimate Frisbee,Wilderness Survival,Beautiful Morning Hikes,History of American Professional Football,The Poetry of Taylor Swift,"Grilling, Games, & Grins",Doughnuts around the world,Teamwork and Collaboration in Video Games,Globalization of East Asian Foodways,Board Games
Junior,Play Like a Kid,Jane Austen Book Club,Beautiful Morning Hikes,Ultimate Frisbee,Beautiful Storage,Running Club,Creating Outside the Box,Board Games,Beads and Baubles: The Art of Jewelry Making,"Quilting as Art, Quilting as Craft"
Sophomore,Ultimate Frisbee,Play Like a Kid,Fishing at the pond,Wilderness Survival,Farming to Benefit the Community,Introduction to Dog Training,Board Games,Teamwork and Collaboration in Video Games,NASA in the Movies,Songwriters' Seminar
Freshman,Lifeguarding - Full Day Course,Wilderness Survival,Beautiful Morning Hikes,Introduction to Podcasting,The Poetry of Taylor Swift,Floral Design with Foraging,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,Introduction to Dog Training,Intro to Italian
Sophomore,College Tours - Full Day Course,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Wilderness Survival,Beautiful Morning Hikes,Doughnuts around the world,"Grilling, Games, & Grins",Globalization of East Asian Foodways,Shark Tank,Board Games
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Play Like a Kid,Beautiful Morning Hikes,Ultimate Frisbee,"Grilling, Games, & Grins",Doughnuts around the world,Board Games,NASA in the Movies,Globalization of East Asian Foodways
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Ultimate Frisbee,Beautiful Morning Hikes,Fishing at the pond,Doughnuts around the world,"Grilling, Games, & Grins",Introduction to Dog Training,Board Games,Teamwork and Collaboration in Video Games
Freshman,Web Design and Development,Beautiful Morning Hikes,College Tours - Full Day Course,Knitting and Crochet: The Basics,Wilderness Survival,Doughnuts around the world,Floral Design with Foraging,Beads and Baubles: The Art of Jewelry Making,Introduction to Dog Training,Songwriters' Seminar
Sophomore,Amazing Race - Full Day Course,College Tours - Full Day Course,Wilderness Survival,Ultimate Frisbee,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Shark Tank,Doughnuts around the world,"Grilling, Games, & Grins","Grilling, Games, & Grins",Teamwork and Collaboration in Video Games
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Play Like a Kid,Beautiful Morning Hikes,Ultimate Frisbee,"Grilling, Games, & Grins",Doughnuts around the world,NASA in the Movies,Board Games,Introduction to Dog Training
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Knitting and Crochet: The Basics,Music Camp,Lifeguarding - Full Day Course,Doughnuts around the world,"Grilling, Games, & Grins",Shark Tank,Board Games,History Book Club: Women and the 1930s
Junior,Amazing Race - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Web Design and Development,Play Like a Kid,Lifeguarding - Full Day Course,"Grilling, Games, & Grins",Running Club,Mending and Hiking,NASA in the Movies,"Quilting as Art, Quilting as Craft"
Sophomore,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Introduction to Podcasting,College Tours - Full Day Course,"Grilling, Games, & Grins",Globalization of East Asian Foodways,Shark Tank,Doughnuts around the world,Teamwork and Collaboration in Video Games
Sophomore,Wilderness Survival,Ultimate Frisbee,Beautiful Morning Hikes,Disc Golf,Fishing at the pond,"Grilling, Games, & Grins",Running Club,Teamwork and Collaboration in Video Games,Doughnuts around the world,Board Games
Sophomore,Wilderness Survival,Ultimate Frisbee,Beautiful Morning Hikes,Disc Golf,Fishing at the pond,"Grilling, Games, & Grins",Running Club,Teamwork and Collaboration in Video Games,Doughnuts around the world,Board Games
Freshman,Knitting and Crochet: The Basics,Beautiful Morning Hikes,Beautiful Storage,The Poetry of Taylor Swift,Farming to Benefit the Community,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,"Quilting as Art, Quilting as Craft",Running Club
Freshman,Fishing at the pond,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Web Design and Development,Disc Golf,Beautiful Morning Hikes,Doughnuts around the world,"Grilling, Games, & Grins",NASA in the Movies,Introduction to Dog Training,Board Games
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Play Like a Kid,Beautiful Morning Hikes,Ultimate Frisbee,"Grilling, Games, & Grins",Doughnuts around the world,Globalization of East Asian Foodways,NASA in the Movies,Board Games
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Beautiful Morning Hikes,Disc Golf,Fishing at the pond,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Running Club,"Grilling, Games, & Grins",Board Games
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",College Tours - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Play Like a Kid,Doughnuts around the world,"Grilling, Games, & Grins",Beads and Baubles: The Art of Jewelry Making,Latin American Music and Zumba,NASA in the Movies
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,College Tours - Full Day Course,Fishing at the pond,Doughnuts around the world,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Globalization of East Asian Foodways,Mending and Hiking
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,College Tours - Full Day Course,Fishing at the pond,"Grilling, Games, & Grins",Globalization of East Asian Foodways,"Fly Fishing for Life - all are welcome, from beginners to experts",Songwriters' Seminar,Doughnuts around the world
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Music Camp,Ultimate Frisbee,Wilderness Survival,Doughnuts around the world,Songwriters' Seminar,"Fly Fishing for Life - all are welcome, from beginners to experts",History Book Club: Women and the 1930s,Globalization of East Asian Foodways
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Play Like a Kid,Beautiful Morning Hikes,Ultimate Frisbee,"Grilling, Games, & Grins",Doughnuts around the world,Globalization of East Asian Foodways,NASA in the Movies,Board Games
Junior,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Web Design and Development,Beautiful Morning Hikes,Lifeguarding - Full Day Course,"Grilling, Games, & Grins",Doughnuts around the world,Globalization of East Asian Foodways,"Fly Fishing for Life - all are welcome, from beginners to experts",Board Games
Freshman,Amazing Race - Full Day Course,Web Design and Development,Wilderness Survival,Introduction to Podcasting,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Shark Tank,"Grilling, Games, & Grins",Globalization of East Asian Foodways,Doughnuts around the world,Introduction to Dog Training
