Grade in school this year,AM Course - 1st Choice. (Drop down option),AM Course - 2nd Choice. (Drop down option),AM Course - 3rd Choice. (Drop down option),AM Course - 4th Choice. (Drop down option),AM Course - 5th Choice. (Drop down option),PM Course - 1st Choice. (Drop down option),PM Course - 2nd Choice. (Drop down option),PM Course - 3rd Choice. (Drop down option),PM Course - 4th Choice. (Drop down option),PM Course - 5th Choice. (Drop down option)
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Wilderness Survival,Mending and Hiking,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Introduction to Dog Training,"Words, words, words... Word Puzzles and Games"
Junior,Lifeguarding - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Beautiful Morning Hikes,Harry Potter: The Wizarding World of June Academy,"Grilling, Games, & Grins",Doughnuts around the world,Introduction to Dog Training,Floral Design with Foraging,Board Games
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Backyard Birdles,Knitting and Crochet: The Basics,Doughnuts around the world,"Grilling, Games, & Grins","Quilting as Art, Quilting as Craft",Board Games,Introduction to Dog Training
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Wilderness Survival,College Tours - Full Day Course,Backyard Birdles,Doughnuts around the world,Globalization of East Asian Foodways,Shark Tank,Mending and Hiking,NASA in the Movies
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Wilderness Survival,Mending and Hiking,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Introduction to Dog Training,"Words, words, words... Word Puzzles and Games"
Freshman,Lifeguarding - Full Day Course,Fishing at the pond,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Wilderness Survival,Disc Golf,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Doughnuts around the world,Board Games,Introduction to Dog Training
Sophomore,Wilderness Survival,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Web Design and Development,"Grilling, Games, & Grins",NASA in the Movies,Mending and Hiking,Doughnuts around the world,Shark Tank
Junior,Fishing at the pond,Web Design and Development,Beautiful Storage,Beautiful Morning Hikes,Backyard Birdles,Teamwork and Collaboration in Video Games,Board Games,Globalization of East Asian Foodways,Doughnuts around the world,Shark Tank
Sophomore,Wilderness Survival,Beautiful Morning Hikes,Disc Golf,Introduction to Podcasting,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,"Grilling, Games, & Grins",Board Games,Songwriters' Seminar,Doughnuts around the world,Shark Tank
Junior,Fishing at the pond,Disc Golf,Introduction to Podcasting,Wilderness Survival,Ultimate Frisbee,"Grilling, Games, & Grins",Board Games,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts",Teamwork and Collaboration in Video Games
Freshman,Ultimate Frisbee,Fishing at the pond,History of American Professional Football,Music Camp,Fishing at the pond,Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",Board Games,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts"
